sample,spread_bucket,model,horizon_kind,horizon_value,development_first_date,development_last_date,selection_first_date,selection_last_date,test_first_date,test_last_date,development_observations,selection_observations,test_observations,selection_roc_auc,selection_log_loss,selection_brier_score,selection_relative_brier_reduction,test_roc_auc,test_log_loss,test_brier_score,test_accuracy,test_relative_brier_reduction,intercept,queue_coefficient,ofi_coefficient,selected_fixed_on_train_dates
best_quote_updates,six_to_ten_ticks,queue_and_ofi,price_spell,0,2019-01-02,2019-08-06,2019-08-07,2019-10-17,2019-10-18,2019-12-31,5294290,1923916,1794330,0.6246533711432245,0.6691240775095938,0.2378762800183604,0.04861577911039938,0.6379657170643508,0.6576573081415443,0.23318378573947302,0.588310399982166,0.06736147305156759,-0.0022846039189221845,0.26001496138067665,2.3778821662879697,False
best_quote_updates,six_to_ten_ticks,queue_and_ofi,quote_updates,1,2019-01-02,2019-08-06,2019-08-07,2019-10-17,2019-10-18,2019-12-31,5294290,1923916,1794330,0.5931293783355015,0.6841082228901625,0.2452422631658834,0.019155590236791142,,,,,,,,,False
best_quote_updates,six_to_ten_ticks,queue_and_ofi,quote_updates,5,2019-01-02,2019-08-06,2019-08-07,2019-10-17,2019-10-18,2019-12-31,5294290,1923916,1794330,0.6169209920275291,0.6729731588961965,0.23999989563754626,0.04012239594847933,,,,,,,,,False
best_quote_updates,six_to_ten_ticks,queue_and_ofi,quote_updates,20,2019-01-02,2019-08-06,2019-08-07,2019-10-17,2019-10-18,2019-12-31,5294290,1923916,1794330,0.614234183804443,0.673474781511748,0.24026748352869673,0.03905218038380831,,,,,,,,,False
best_quote_updates,six_to_ten_ticks,queue_and_ofi,quote_updates,100,2019-01-02,2019-08-06,2019-08-07,2019-10-17,2019-10-18,2019-12-31,5294290,1923916,1794330,0.577950339730434,0.6839891035433309,0.24545308700468044,0.018312402031547048,,,,,,,,,False
best_quote_updates,two_to_five_ticks,ofi,clock_us,10,2019-01-02,2019-08-06,2019-08-07,2019-10-17,2019-10-18,2019-12-31,2870272,1195173,912661,0.6373070820173351,0.6678708346830026,0.23736029895274843,0.05055675406796745,,,,,,,,,False
best_quote_updates,two_to_five_ticks,ofi,clock_us,100,2019-01-02,2019-08-06,2019-08-07,2019-10-17,2019-10-18,2019-12-31,2870272,1195173,912661,0.6393921344498427,0.664323746583575,0.23587253309379,0.0565078303538864,,,,,,,,,False
best_quote_updates,two_to_five_ticks,ofi,clock_us,1000,2019-01-02,2019-08-06,2019-08-07,2019-10-17,2019-10-18,2019-12-31,2870272,1195173,912661,0.6409991684436863,0.6632946856865916,0.23533543077608055,0.05865624426376759,0.6620346081214907,0.6533312847657264,0.23061422246967653,0.6189965386928992,0.0775333457747116,0.009073600698395221,,1.0257009312006293,True
best_quote_updates,two_to_five_ticks,ofi,clock_us,10000,2019-01-02,2019-08-06,2019-08-07,2019-10-17,2019-10-18,2019-12-31,2870272,1195173,912661,0.6335116924867029,0.6663699104038096,0.23679789093052936,0.05280639101445683,,,,,,,,,False
best_quote_updates,two_to_five_ticks,ofi,price_spell,0,2019-01-02,2019-08-06,2019-08-07,2019-10-17,2019-10-18,2019-12-31,2870272,1195173,912661,0.6418044105174906,0.6541739494789773,0.2313543145652044,0.07458074349284638,0.6669296178592115,0.6379504371745305,0.22458746005030217,0.5971340946967165,0.10164065062899941,0.004713139564255959,,2.8497929477722366,False
