sample,spread_bucket,model,fold,evaluation_month,train_first_date,train_last_date,test_first_date,test_last_date,train_dates,test_dates,train_observations,test_observations,train_upward_fraction,test_upward_fraction,intercept,queue_coefficient,ofi_coefficient,brier_sse,roc_auc,log_loss,brier_score,accuracy,relative_brier_reduction_vs_intercept
price_spell_landmarks,all_spreads,ofi,6,2019-12,2019-01-02,2019-11-29,2019-12-02,2019-12-31,228,21,8941159,906793,0.5015083614998905,0.5048616387643046,0.00643741410814388,,1.6091135601821187,225484.0838723401,0.5246268705726788,0.6905079480725692,0.2486610327520615,0.5176892631504655,0.0053065677555665935
price_spell_landmarks,all_spreads,queue,6,2019-12,2019-01-02,2019-11-29,2019-12-02,2019-12-31,228,21,8941159,906793,0.5015083614998905,0.5048616387643046,0.01120805469105189,0.34581656159523444,,225546.22303192667,0.5451783197504101,0.6906076770986564,0.2487295590415086,0.5354430393706171,0.005032449011287743
price_spell_landmarks,all_spreads,queue_and_ofi,6,2019-12,2019-01-02,2019-11-29,2019-12-02,2019-12-31,228,21,8941159,906793,0.5015083614998905,0.5048616387643046,0.010722363585674483,0.31249366490135494,1.3170037564601127,224565.9248628908,0.5556201178014728,0.6884516494312867,0.247648498458734,0.5409602853131862,0.009356905680847127
price_spell_landmarks,one_tick,intercept,1,2019-07,2019-01-02,2019-06-28,2019-07-01,2019-07-31,122,22,41734,12577,0.5076915704221977,0.49670032599188996,0.03076870888820828,,,3145.632458879216,0.5,0.6933670417819984,0.250109919605567,0.49670032599188996,0.0
price_spell_landmarks,one_tick,ofi,1,2019-07,2019-01-02,2019-06-28,2019-07-01,2019-07-31,122,22,41734,12577,0.5076915704221977,0.49670032599188996,0.03549918178664932,,1.7919899000138342,3079.8743154177373,0.5732412853588363,0.682916304903733,0.24488147534529198,0.5450425379661287,0.020904585745821103
price_spell_landmarks,one_tick,queue,1,2019-07,2019-01-02,2019-06-28,2019-07-01,2019-07-31,122,22,41734,12577,0.5076915704221977,0.49670032599188996,0.024898988819597123,0.8172714632547927,,2965.426075655234,0.6392130845238575,0.6642967165497417,0.23578167095930938,0.6001431183907132,0.05728780637270925
price_spell_landmarks,one_tick,queue_and_ofi,1,2019-07,2019-01-02,2019-06-28,2019-07-01,2019-07-31,122,22,41734,12577,0.5076915704221977,0.49670032599188996,0.028618029502407917,0.7530053212099221,1.3291585823634378,2940.0637494242383,0.6475202631228234,0.660021188558761,0.23376510689546304,0.6056293233680528,0.06535051762793087
price_spell_landmarks,one_tick,intercept,2,2019-08,2019-01-02,2019-07-31,2019-08-01,2019-08-30,144,22,54311,2607,0.5051462871241553,0.47717683160721136,0.02058587545303506,,,652.4314526626997,0.5,0.6936699868101159,0.2502613934264287,0.47717683160721136,0.0
price_spell_landmarks,one_tick,ofi,2,2019-08,2019-01-02,2019-07-31,2019-08-01,2019-08-30,144,22,54311,2607,0.5051462871241553,0.47717683160721136,0.025641467654237988,,1.7900699760499024,635.6672526060174,0.5729615138726047,0.6803564578703727,0.24383093694131855,0.520138089758343,0.025694959965930964
price_spell_landmarks,one_tick,queue,2,2019-08,2019-01-02,2019-07-31,2019-08-01,2019-08-30,144,22,54311,2607,0.5051462871241553,0.47717683160721136,0.018065969556015842,0.8355378411854101,,645.5415545111487,0.5790857008726259,0.6887370227268101,0.24761854795210914,0.5592635212888377,0.010560340283154668
price_spell_landmarks,one_tick,queue_and_ofi,2,2019-08,2019-01-02,2019-07-31,2019-08-01,2019-08-30,144,22,54311,2607,0.5051462871241553,0.47717683160721136,0.021427537469416343,0.7678004599704057,1.294887491814438,632.7997756887999,0.5988737134135266,0.6781661638476344,0.2427310225120061,0.5634829305715382,0.030090022321546783
price_spell_landmarks,one_tick,intercept,3,2019-09,2019-01-02,2019-08-30,2019-09-03,2019-09-30,166,19,56918,4769,0.5038652095997751,0.48332983854057454,0.0154611463868543,,,1192.9358164483624,0.5,0.6934348009498938,0.25014380718145574,0.48332983854057454,0.0
price_spell_landmarks,one_tick,ofi,3,2019-09,2019-01-02,2019-08-30,2019-09-03,2019-09-30,166,19,56918,4769,0.5038652095997751,0.48332983854057454,0.02022041228419182,,1.819426217565712,1163.0514558219625,0.5813706087838408,0.6807142507171717,0.24387742835436413,0.5347032920947787,0.025051105193045875
price_spell_landmarks,one_tick,queue,3,2019-09,2019-01-02,2019-08-30,2019-09-03,2019-09-30,166,19,56918,4769,0.5038652095997751,0.48332983854057454,0.012961784694932638,0.8192760226298252,,1197.0398821459617,0.5704476786770714,0.6958085155015664,0.2510043787263496,0.5586076745648983,-0.0034403072160393844
price_spell_landmarks,one_tick,queue_and_ofi,3,2019-09,2019-01-02,2019-08-30,2019-09-03,2019-09-30,166,19,56918,4769,0.5038652095997751,0.48332983854057454,0.016530652877869263,0.7521518398054564,1.3281060483812768,1169.2527892709763,0.5964397519508692,0.6835832608772909,0.24517777086831125,0.5709792409310128,0.01985272539464511
