horizon,volume_imbalance,order_flow_imbalance,impact,observations
50,-1806.637632607482,-17.073143495254048,-0.18378838637632597,1791
50,-1648.4221724524077,-15.806270996640537,-0.16301231802911512,1786
50,-1502.101505856107,-14.807585052983827,-0.16166201896263296,1793
50,-1360.6679644048943,-13.527252502780868,-0.1485595105672974,1798
50,-1229.0095131505316,-12.540570789031896,-0.12342193620593343,1787
50,-1108.1809576837416,-11.0456570155902,-0.11528674832962166,1796
50,-990.7526640493551,-10.706674144699944,-0.11314638250140284,1783
50,-881.9966536530953,-9.643056330172895,-0.0902565532626883,1793
50,-771.963707426019,-8.390843104410944,-0.08800949190396375,1791
50,-666.8801560758083,-6.998885172798216,-0.0716945373467118,1794
50,-569.0599775784754,-6.4708520179372195,-0.071188340807175,1784
50,-471.22744881018264,-5.3923630326508025,-0.05798284449363561,1807
50,-371.44182124789205,-4.35300730747611,-0.03788645306351896,1779
50,-273.8278915329275,-3.127836192584394,-0.02742114001106757,1807
50,-175.46846846846847,-2.150900900900901,-0.021109234234233873,1776
50,-80.93805309734513,-1.0564159292035398,0.00330199115044243,1808
50,12.721008403361344,-0.01680672268907563,0.00649859943977586,1785
50,106.9432584269663,0.7202247191011236,0.011752808988763687,1780
50,199.5374720357942,2.2762863534675617,0.026909955257270857,1788
50,294.7522271714922,3.1692650334075725,0.03984688195991126,1796
50,389.37022689540674,3.944659656889873,0.05106530160487127,1807
50,486.75098591549295,5.0647887323943666,0.05610704225352089,1775
50,583.4780920687742,5.987798114254021,0.069958402662229,1803
50,684.4515765765766,6.5957207207207205,0.08155405405405335,1776
50,788.125,7.712053571428571,0.09035714285714178,1792
50,900.0161380077908,9.150806900389538,0.10441012799109727,1797
50,1012.4225824482951,9.934041363890442,0.11738121855785455,1789
50,1130.9095951192458,11.357737104825292,0.12449251247920133,1803
50,1257.7103641456583,11.918207282913166,0.13883753501400506,1785
50,1393.4546466332777,12.910406232609905,0.13972732331663956,1797
50,1535.9718943226533,14.477796514896008,0.160727937043283,1779
50,1689.5391061452515,15.09608938547486,0.1707569832402237,1790
50,1857.544543429844,16.0902004454343,0.17609409799554665,1796
50,2041.8436627582357,17.188163037409268,0.18869346733668307,1791
50,2250.530100334448,18.98773690078038,0.2200473801560763,1794
50,2482.1183398766125,19.78238923163208,0.21706393718452174,1783
50,2758.5248464544948,21.037409268565046,0.23713567839196076,1791
50,3081.737723214286,22.3984375,0.25218470982142804,1792
50,3524.3729759910666,23.23506420993858,0.2614014517029592,1791
50,4147.943112102621,23.834913552704965,0.2794813162297823,1793
50,5312.405813303521,24.299608719955284,0.2846702068194539,1789
50,10400.906808035714,24.958705357142858,0.3009988839285704,1792
