sample,spread_bucket,model,target_train_signal_fraction,entry_latency_us,shares,filled_round_trips,filled_test_dates,quoted_round_trip_mean_bps,cluster_standard_error_bps,pointwise_lower_95_bps,pointwise_upper_95_bps,simultaneous_lower_95_bps,simultaneous_upper_95_bps,familywise_adjusted_p_value,inference_status
price_spell_round_trips,all_spreads,ofi,1.0,10000,100,783752,51,-5.164648616906422,0.18532421084314135,-5.5268762796035675,-4.806945454797147,-5.725382123843393,-4.60391510996945,9.999000099990002e-05,estimable
price_spell_round_trips,all_spreads,ofi,1.0,10000,500,16455,51,-5.220093712344647,0.20539139573255755,-5.617664185336328,-4.824531570765016,-5.841544288606785,-4.598643136082508,9.999000099990002e-05,estimable
price_spell_round_trips,all_spreads,queue,0.05,0,1,130622,51,-4.157463670503098,0.1735407097615511,-4.503080916851728,-3.828060432100561,-4.6825439627013425,-3.632383378304854,9.999000099990002e-05,estimable
price_spell_round_trips,all_spreads,queue,0.05,0,100,63749,51,-5.660462501690166,0.2165222813003607,-6.081519456599129,-5.24549077343286,-6.315591680825359,-5.005333322554972,9.999000099990002e-05,estimable
price_spell_round_trips,all_spreads,queue,0.05,0,500,1456,50,-5.338915517060486,0.39963284655185655,-6.1239028096878165,-4.615616270518787,-6.548080399051513,-4.129750635069459,9.999000099990002e-05,estimable
price_spell_round_trips,all_spreads,queue,0.05,10,1,129445,51,-4.170535429305503,0.1737793823364577,-4.516069595933076,-3.840171648838756,-4.696337870592246,-3.6447329880187604,9.999000099990002e-05,estimable
price_spell_round_trips,all_spreads,queue,0.05,10,100,63306,51,-5.672196662858302,0.2166383302575941,-6.091852608764915,-5.256464050582584,-6.327676970097427,-5.016716355619177,9.999000099990002e-05,estimable
price_spell_round_trips,all_spreads,queue,0.05,10,500,1443,50,-5.369647122426464,0.4053648903670669,-6.166147445933044,-4.636323177588257,-6.596155388834434,-4.143138856018494,9.999000099990002e-05,estimable
price_spell_round_trips,all_spreads,queue,0.05,100,1,122595,51,-4.222762074642953,0.17466683055826088,-4.567446544776251,-3.8899009359191634,-4.751249658639181,-3.694274490646724,9.999000099990002e-05,estimable
price_spell_round_trips,all_spreads,queue,0.05,100,100,60651,51,-5.711438520810556,0.2171555598504133,-6.130317083146736,-5.292881281507953,-6.368483804164531,-5.054393237456581,9.999000099990002e-05,estimable
price_spell_round_trips,all_spreads,queue,0.05,100,500,1372,50,-5.393977901450809,0.41546764391120483,-6.213243504266089,-4.648259705907265,-6.651053962529272,-4.136901840372345,9.999000099990002e-05,estimable
price_spell_round_trips,all_spreads,queue,0.05,1000,1,97739,51,-4.2604051246519825,0.1691220087847513,-4.5938432963140245,-3.938422873431264,-4.772115799984982,-3.7486944493189838,9.999000099990002e-05,estimable
price_spell_round_trips,all_spreads,queue,0.05,1000,100,49755,51,-5.6924185793004005,0.2112946370202151,-6.098471087030918,-5.285211410792584,-6.331730530363294,-5.053106628237507,9.999000099990002e-05,estimable
price_spell_round_trips,all_spreads,queue,0.05,1000,500,1145,51,-5.2802392105531135,0.39173746824806727,-6.068195567800144,-4.585421512056097,-6.465515129819108,-4.094963291287119,9.999000099990002e-05,estimable
price_spell_round_trips,all_spreads,queue,0.05,10000,1,75583,51,-4.090308531005607,0.15936888498469423,-4.403584464803078,-3.786677270833093,-4.572509282691202,-3.6081077793200116,9.999000099990002e-05,estimable
