date,requested_end_seconds,scheduled_close_seconds,end_gap_seconds,events_after_scheduled_close,coverage_status,analysis_status
2019-07-17,57600.0,57600.0,0.009640196,0,complete,included
2019-07-18,57600.0,57600.0,0.050432841,0,complete,included
2019-07-19,57600.0,57600.0,0.488290282,0,complete,included
2019-07-22,57600.0,57600.0,0.002931018,0,complete,included
2019-07-23,57600.0,57600.0,0.109195651,0,complete,included
2019-07-24,57600.0,57600.0,0.291461426,0,complete,included
2019-07-25,57600.0,57600.0,0.098853476,0,complete,included
2019-07-26,57600.0,57600.0,0.017516117,0,complete,included
2019-07-29,57600.0,57600.0,0.16825637,0,complete,included
2019-07-30,57600.0,57600.0,0.13532869,0,complete,included
2019-07-31,57600.0,57600.0,0.053563147,0,complete,included
2019-08-01,57600.0,57600.0,0.002023681,0,complete,included
2019-08-02,57600.0,57600.0,0.067314656,0,complete,included
2019-08-05,57600.0,57600.0,0.010060832,0,complete,included
2019-08-06,57600.0,57600.0,0.294360964,0,complete,included
2019-08-07,57600.0,57600.0,0.084571029,0,complete,included
2019-08-08,57600.0,57600.0,0.007927177,0,complete,included
2019-08-09,57600.0,57600.0,0.003720092,0,complete,included
2019-08-12,57600.0,57600.0,0.039510534,0,complete,included
2019-08-13,57600.0,57600.0,0.024278796,0,complete,included
2019-08-14,57600.0,57600.0,0.037884393,0,complete,included
2019-08-15,57600.0,57600.0,0.064776409,0,complete,included
2019-08-16,57600.0,57600.0,0.081026426,0,complete,included
2019-08-19,57600.0,57600.0,0.263712917,0,complete,included
2019-08-20,57600.0,57600.0,0.009462056,0,complete,included
2019-08-21,57600.0,57600.0,0.097709511,0,complete,included
2019-08-22,57600.0,57600.0,0.060189185,0,complete,included
2019-08-23,57600.0,57600.0,0.10019458,0,complete,included
2019-08-26,57600.0,57600.0,0.008966418,0,complete,included
2019-08-27,57600.0,57600.0,0.014005331,0,complete,included
2019-08-28,57600.0,57600.0,0.412820747,0,complete,included
2019-08-29,57600.0,57600.0,0.018536088,0,complete,included
2019-08-30,57600.0,57600.0,0.01046915,0,complete,included
2019-09-03,57600.0,57600.0,0.178250451,0,complete,included
2019-09-04,57600.0,57600.0,0.044121186,0,complete,included
2019-09-05,57600.0,57600.0,0.044590464,0,complete,included
2019-09-06,57600.0,57600.0,0.098571545,0,complete,included
2019-09-09,57600.0,57600.0,0.024000262,0,complete,included
2019-09-10,57600.0,57600.0,0.100637878,0,complete,included
2019-09-11,57600.0,57600.0,0.089183015,0,complete,included
2019-09-12,57600.0,57600.0,0.098565543,0,complete,included
2019-09-13,57600.0,57600.0,0.3938393,0,complete,included
2019-09-16,57600.0,57600.0,0.397259003,0,complete,included
