sample,spread_bucket,bin,bin_center,observations,up_moves,down_moves,model_probability,empirical_up_probability
best_quote_updates,two_to_five_ticks,28,-0.4356435644,7922,3844,4078,0.4650274035445594,0.4852310022721535
best_quote_updates,two_to_five_ticks,29,-0.4158415842,4341,2198,2143,0.46665963000036986,0.506334945865008
best_quote_updates,two_to_five_ticks,30,-0.396039604,4790,2408,2382,0.46829257053557816,0.502713987473904
best_quote_updates,two_to_five_ticks,31,-0.3762376238,4859,2407,2452,0.46992619046591305,0.49536941757563285
best_quote_updates,two_to_five_ticks,32,-0.3564356436,5058,2410,2648,0.47156045504899236,0.4764729141953341
best_quote_updates,two_to_five_ticks,33,-0.3366336634,28595,13046,15549,0.4731953294872605,0.456233607273999
best_quote_updates,two_to_five_ticks,34,-0.3168316832,4916,2450,2466,0.4748307789309372,0.4983726606997559
best_quote_updates,two_to_five_ticks,35,-0.297029703,4670,2345,2325,0.47646676848097474,0.5021413276231264
best_quote_updates,two_to_five_ticks,36,-0.2772277228,5235,2488,2747,0.4781032631920243,0.4752626552053486
best_quote_updates,two_to_five_ticks,37,-0.2574257426,7287,3827,3460,0.47974022807541106,0.5251818306573349
best_quote_updates,two_to_five_ticks,38,-0.2376237624,4064,2023,2041,0.4813776281021171,0.49778543307086615
best_quote_updates,two_to_five_ticks,39,-0.2178217822,4282,2257,2025,0.4830154282057712,0.5270901447921532
best_quote_updates,two_to_five_ticks,40,-0.198019802,7430,3368,4062,0.48465359328564656,0.45329744279946166
best_quote_updates,two_to_five_ticks,41,-0.1782178218,3925,1924,2001,0.48629208820966335,0.49019108280254775
best_quote_updates,two_to_five_ticks,42,-0.1584158416,4960,2436,2524,0.48793087781739747,0.49112903225806454
best_quote_updates,two_to_five_ticks,43,-0.1386138614,5269,2652,2617,0.4895699269230958,0.5033213133421902
best_quote_updates,two_to_five_ticks,44,-0.1188118812,5629,2752,2877,0.49120920031869364,0.48889678450879376
best_quote_updates,two_to_five_ticks,45,-0.09900990099,4632,2149,2483,0.4928486627776666,0.4639464594127807
best_quote_updates,two_to_five_ticks,46,-0.07920792079,4490,2105,2385,0.4944882790547441,0.4688195991091314
best_quote_updates,two_to_five_ticks,47,-0.05940594059,3946,1953,1993,0.4961280138939073,0.49493157627977696
best_quote_updates,two_to_five_ticks,48,-0.0396039604,4702,2317,2385,0.4977678320272806,0.49276903445342407
best_quote_updates,two_to_five_ticks,49,-0.0198019802,4544,2199,2345,0.4994076981823054,0.48393485915492956
best_quote_updates,two_to_five_ticks,50,0.0,38206,18842,19364,0.5010475770798066,0.4931686122598545
best_quote_updates,two_to_five_ticks,51,0.0198019802,5899,3175,2724,0.502687433440341,0.5382268181047635
best_quote_updates,two_to_five_ticks,52,0.0396039604,4757,2473,2284,0.5043272319864044,0.519865461425268
best_quote_updates,two_to_five_ticks,53,0.05940594059,3955,2057,1898,0.5059669374446395,0.5201011378002528
best_quote_updates,two_to_five_ticks,54,0.07920792079,4523,2495,2028,0.5076065145521828,0.5516250276365244
best_quote_updates,two_to_five_ticks,55,0.09900990099,4743,2515,2228,0.5092459280547291,0.5302551127978073
best_quote_updates,two_to_five_ticks,56,0.1188118812,5784,3102,2682,0.5108851427137029,0.5363070539419087
best_quote_updates,two_to_five_ticks,57,0.1386138614,5544,2841,2703,0.5125241233051475,0.5124458874458875
best_quote_updates,two_to_five_ticks,58,0.1584158416,4689,2480,2209,0.5141628346277176,0.5288974194924291
best_quote_updates,two_to_five_ticks,59,0.1782178218,3980,2038,1942,0.5158012415023893,0.5120603015075377
best_quote_updates,two_to_five_ticks,60,0.198019802,6635,3626,3009,0.5174393087763058,0.5464958553127355
best_quote_updates,two_to_five_ticks,61,0.2178217822,4388,2193,2195,0.5190770013257904,0.4997721057429353
best_quote_updates,two_to_five_ticks,62,0.2376237624,3935,1996,1939,0.520714284059353,0.5072426937738247
best_quote_updates,two_to_five_ticks,63,0.2574257426,7109,3426,3683,0.522351121920693,0.4819243212828809
best_quote_updates,two_to_five_ticks,64,0.2772277228,4731,2379,2352,0.523987479891693,0.50285351934052
best_quote_updates,two_to_five_ticks,65,0.297029703,4556,2371,2185,0.5256233229954081,0.5204126426690079
best_quote_updates,two_to_five_ticks,66,0.3168316832,4911,2641,2270,0.5272586162990458,0.537772347790674
best_quote_updates,two_to_five_ticks,67,0.3366336634,31656,17099,14557,0.5288933249169394,0.5401503664392217
best_quote_updates,two_to_five_ticks,68,0.3564356436,5225,2678,2547,0.5305274140135114,0.5125358851674641
best_quote_updates,two_to_five_ticks,69,0.3762376238,4866,2417,2449,0.5321608488062288,0.49671187833949854
best_quote_updates,two_to_five_ticks,70,0.396039604,4862,2528,2334,0.5337935945685485,0.5199506375976964
best_quote_updates,two_to_five_ticks,71,0.4158415842,4316,2140,2176,0.535425616632852,0.49582947173308617
best_quote_updates,two_to_five_ticks,72,0.4356435644,7319,3683,3636,0.5370568803933707,0.5032108211504304
best_quote_updates,two_to_five_ticks,73,0.4554455446,4763,2422,2341,0.5386873513090984,0.5085030442998111
best_quote_updates,two_to_five_ticks,74,0.4752475248,4738,2341,2397,0.5403169949066934,0.4940903334740397
best_quote_updates,two_to_five_ticks,75,0.495049505,9546,5237,4309,0.5419457767833676,0.5486067462811649
best_quote_updates,two_to_five_ticks,76,0.5148514851,4692,2240,2452,0.5435736626015443,0.4774083546462063
best_quote_updates,two_to_five_ticks,77,0.5346534653,11506,5027,6479,0.5452006181246012,0.43690248565965584
best_quote_updates,two_to_five_ticks,78,0.5544554455,6064,2996,3068,0.5468266091703937,0.4940633245382586
best_quote_updates,two_to_five_ticks,79,0.5742574257,5219,2587,2632,0.5484516016469793,0.4956888292776394
best_quote_updates,two_to_five_ticks,80,0.5940594059,12494,6542,5952,0.5500755615472138,0.5236113334400512
best_quote_updates,two_to_five_ticks,81,0.6138613861,5968,2925,3043,0.5516984549515584,0.49011394101876676
best_quote_updates,two_to_five_ticks,82,0.6336633663,6508,3176,3332,0.5533202480308675,0.4880147510755993
best_quote_updates,two_to_five_ticks,83,0.6534653465,5553,2537,3016,0.5549409070491639,0.4568701602737259
best_quote_updates,two_to_five_ticks,84,0.6732673267,11861,6229,5632,0.5565603983663937,0.525166512098474
best_quote_updates,two_to_five_ticks,85,0.6930693069,6170,3201,2969,0.558178688441168,0.5188006482982171
best_quote_updates,two_to_five_ticks,86,0.7128712871,8507,4513,3994,0.5597957438334835,0.5305042905842248
best_quote_updates,two_to_five_ticks,87,0.7326732673,16138,7322,8816,0.5614115312074268,0.4537117362746313
best_quote_updates,two_to_five_ticks,88,0.7524752475,7985,4067,3918,0.5630260173338604,0.5093299937382593
best_quote_updates,two_to_five_ticks,89,0.7722772277,7806,4227,3579,0.5646391690930885,0.5415065334358186
best_quote_updates,two_to_five_ticks,90,0.7920792079,8080,4136,3944,0.566250953477505,0.5118811881188119
best_quote_updates,two_to_five_ticks,91,0.8118811881,12789,6935,5854,0.5678613375942201,0.54226288216436
best_quote_updates,two_to_five_ticks,92,0.8316831683,6973,3585,3388,0.5694702886676676,0.5141259142406425
best_quote_updates,two_to_five_ticks,93,0.8514851485,10819,5605,5214,0.5710777740421911,0.5180700619280895
best_quote_updates,two_to_five_ticks,94,0.8712871287,11283,6062,5221,0.5726837611846096,0.5372684569706638
best_quote_updates,two_to_five_ticks,95,0.8910891089,11018,5736,5282,0.5742882176867612,0.5206026502087493
best_quote_updates,two_to_five_ticks,96,0.9108910891,12741,6833,5908,0.5758911112680243,0.5363001334275175
best_quote_updates,two_to_five_ticks,97,0.9306930693,13877,7697,6180,0.5774924097778179,0.5546587879224616
best_quote_updates,two_to_five_ticks,98,0.9504950495,12585,6756,5829,0.5790920811980779,0.5368295589988081
best_quote_updates,two_to_five_ticks,99,0.9702970297,17818,10136,7682,0.5806900936457111,0.5688629475810978
best_quote_updates,two_to_five_ticks,100,0.9900990099,21355,12558,8797,0.5822864153750251,0.5880590025755092
